Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
coatesville,us,39.9832,-75.8239,32.95,52.0,12.0,7.87
ozernovskiy,ru,51.5,156.5167,25.2,93.0,80.0,12.91
klaksvik,fo,62.2266,-6.5891,38.43,100.0,92.0,24.65
troitskiy,ru,45.1462,38.1411,41.77,78.0,56.0,10.67
sao jose da coroa grande,br,-8.8978,-35.1478,78.84,90.0,12.0,10.22
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
catalao,br,-18.1659,-47.9464,76.23,75.0,8.0,2.95
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
kapaa,us,22.0752,-159.319,74.97,80.0,88.0,12.8
jaruco,cu,23.0439,-82.0102,64.27,65.0,0.0,11.34
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
quang ngai,vn,15.1167,108.8,68.22,90.0,24.0,2.95
port elizabeth,za,-33.918,25.5701,68.85,95.0,76.0,19.17
ponta do sol,cv,17.1994,-25.092,71.28,99.0,0.0,15.82
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
puerto ayora,ec,-0.7394,-90.3518,82.0,99.0,56.0,6.2
lavrentiya,ru,65.5842,-170.989,0.27,100.0,80.0,17.83
saskylakh,ru,71.965,114.0939,-34.39,63.0,32.0,3.06
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
barrow,us,39.5062,-90.4016,38.97,49.0,0.0,18.05
ceres,za,-33.3684,19.3092,57.87,95.0,68.0,2.17
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
tuktoyaktuk,ca,69.444,-133.032,15.64,87.0,24.0,0.6
busselton,au,-33.6445,115.3489,70.11,100.0,92.0,12.01
makakilo city,us,21.3469,-158.0859,76.69,63.0,88.0,14.47
vaini,to,-21.2001,-175.2,84.6,99.0,88.0,13.24
tasiilaq,gl,65.6145,-37.6368,12.07,92.0,0.0,6.42
mahebourg,mu,-20.4081,57.7,80.49,82.0,88.0,17.6
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
rikitea,pf,-23.1203,-134.9692,80.19,100.0,20.0,7.76
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
jamestown,sh,-15.9388,-5.7168,74.7,100.0,48.0,14.7
bethel,us,60.7922,-161.7559,23.04,92.0,92.0,4.74
aksaray,tr,38.3705,34.0269,44.8,85.0,12.0,6.31
lebu,cl,-37.6167,-73.6501,60.84,100.0,36.0,7.87
fortuna,us,40.5974,-124.1561,56.41,94.0,88.0,11.12
chernyshevskiy,ru,63.0128,112.4714,-8.47,79.0,36.0,5.3
punta arenas,cl,-53.1627,-70.9081,44.92,94.0,8.0,21.18
hobart,au,-42.8826,147.3281,67.12,65.0,76.0,3.18
zarubino,ru,42.6511,131.062,33.3,87.0,44.0,1.72
the valley,ai,18.217,-63.0579,79.09,95.0,0.0,12.46
tessalit,ml,20.2009,1.014,68.58,23.0,0.0,7.76
berlevag,no,70.8578,29.0864,22.53,100.0,76.0,8.99
leningradskiy,ru,69.3833,178.4167,-16.75,99.0,0.0,10.67
madison,us,43.0748,-89.3838,25.92,55.0,0.0,11.45
bilibino,ru,68.055,166.4449,-24.04,34.0,8.0,3.18
kruisfontein,za,-34.0034,24.7314,67.86,80.0,64.0,12.46
ushuaia,ar,-54.807,-68.3074,44.71,88.0,0.0,10.67
sinnamary,gf,5.3772,-52.9574,79.02,96.0,92.0,11.68
katobu,id,-4.9409,122.5276,83.16,94.0,0.0,6.42
qaanaaq,gl,77.484,-69.3633,-10.36,100.0,56.0,2.39
pozo colorado,py,-23.4924,-58.7973,85.59,74.0,12.0,5.75
tuatapere,nz,-46.1324,167.6908,59.58,92.0,8.0,20.74
bathsheba,bb,13.2167,-59.5167,77.07,100.0,80.0,15.93
tuatapere,nz,-46.1324,167.6908,59.58,92.0,8.0,20.74
flinders,au,-34.581,150.846,68.88,91.0,76.0,3.62
hilo,us,19.7072,-155.0817,64.09,100.0,80.0,16.82
georgetown,sh,-7.9334,-14.4167,78.84,100.0,0.0,11.68
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
bethel,us,60.7922,-161.7559,23.04,92.0,92.0,4.74
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
atuona,pf,-9.8,-139.0334,79.83,100.0,88.0,9.78
albany,au,-35.0248,117.8836,68.49,85.0,92.0,6.31
faanui,pf,-16.4834,-151.75,81.81,100.0,20.0,9.78
alofi,nu,-19.0596,-169.9187,84.13,98.0,48.0,14.81
